Traffic,Detected %,No Detected %,Detected Samples,No Detected Samples
Normal,98.74166752447884,1.2583324755211598,316549,4034
Analysis,95.9807073954984,4.019292604501608,597,25
Backdoor,88.79551820728291,11.204481792717086,317,40
Fuzzers,88.01412836361946,11.985871636380537,18938,2579
Shellcode,99.867637326274,0.13236267372600927,1509,2
Worms,98.27586206896552,1.7241379310344827,171,3
Generic,99.96958609008132,0.030413909918677883,213653,65
Exploits,99.47734576402867,0.5226542359713247,28169,148
Reconnaissance,99.72161295765143,0.2783870423485743,11821,33
DoS,98.08439037017862,1.9156096298213823,3789,74
